id,type,location,area,bedroom,bathroom,garage,condominium,price,latitude,longitude
2537755284,Casa,"Rua Dom Nery, 10 - Centro, Pouso Alegre - MG",172,3,2,,,R$ 950.000,-22.223582,-45.934907
2537753628,Apartamento,"Rua Ibiraci José do Lago, 50 - Santa Rita, Pouso Alegre - MG",85,3,2,2,,R$ 350.000,-22.268713,-45.934458
2537755381,Apartamento,"Avenida José Roberto da Cunha, 90 - Jardim Floresta, Pouso Alegre - MG",82,3,2,1,,R$ 360.000,-22.223582,-45.934907
2537753105,Casa,"Rua José Alfredo Amaral de Paula, 2 - Residencial Asturias, Pouso Alegre - MG",304,3,5,4,,R$ 1.650.000,-22.223582,-45.934907
2534755634,Casa,"Rua Benedito Ferreira de Freitas, 590 - Cidade Vergani, Pouso Alegre - MG",61,2,2,2,,R$ 180.000,-22.223582,-45.934907
2537753402,Apartamento,"Rua Lauro Nunes de Oliveira, 2 - Santa Dorotéia, Pouso Alegre - MG",93,3,2,2,,R$ 580.000,-22.219499,-45.927337
2537753103,Casa,"Avenida João Ferreira de Freitas, 1 - Cidade Vergani, Pouso Alegre - MG",150,4,3,2,,R$ 390.000,-22.223582,-45.934907
2537755373,Casa,"Alameda das Amoreiras, 145 - Gran Royalle Pouso Alegre, Pouso Alegre - MG",346,4,5,4,R$ 580,R$ 1.100.000,-22.223582,-45.934907
2537755286,Apartamento,"Avenida Abreu Lima, 321 - Centro, Pouso Alegre - MG",125,3,2,2,,R$ 1.050.000,-22.223582,-45.934907
2535742612,Apartamento,"Avenida Coronel Armando Rubens Storino, 0 - Residencial Santa Rita, Pouso Alegre - MG",75,2,2,2,,R$ 300.000,-22.223582,-45.934907
2537755379,Casa,"Rua Ciomara Amaral de Paula, 30 - Medicina, Pouso Alegre - MG",459,3,5,6,,R$ 2.500.000,-22.225493,-45.932
2534946579,Casa,"Colina de Santa Barbara, Pouso Alegre - MG",530,3,3,6,R$ 2.500.000,R$ 2.500.000,-22.223582,-45.934907
