type,area,bedroom,bathroom,garage,latitude,longitude,bathroom_per_bedroom,price
Casa,255.0,3.0,2.0,,-21.808695999999998,-46.576769,0.6666666666666666,1100000.0
Apartamento,90.0,3.0,2.0,2.0,-22.118814999999998,-46.683995,0.6666666666666666,650000.0
Apartamento,127.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,580000.0
Apartamento,80.0,2.0,2.0,2.0,-21.808695999999998,-46.576769,1.0,360000.0
Apartamento,50.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,200000.0
Apartamento,65.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,220000.0
Casa,336.0,3.0,4.0,6.0,-21.808695999999998,-46.576769,1.3333333333333333,720000.0
Apartamento,74.0,2.0,1.0,3.0,-21.777785,-46.619565,0.5,270000.0
Casa,126.0,3.0,4.0,3.0,-21.808695999999998,-46.576769,1.3333333333333333,380000.0
Apartamento,95.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,430000.0
Apartamento,53.0,2.0,1.0,,-22.118814999999998,-46.683995,0.5,199990.0
Apartamento,80.0,1.0,1.0,,-21.808695999999998,-46.576769,1.0,200000.0
Apartamento,75.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,350000.0
Apartamento,70.0,2.0,1.0,1.0,-22.885289,-43.328431,0.5,420000.0
Casa,380.0,4.0,4.0,5.0,-21.808695999999998,-46.576769,1.0,1800000.0
Apartamento,104.0,3.0,3.0,2.0,-22.118814999999998,-46.683995,1.0,690000.0
Casa,210.0,3.0,4.0,4.0,-21.808695999999998,-46.576769,1.3333333333333333,990000.0
Apartamento,107.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,350000.0
Casa,64.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,200000.0
Apartamento,120.0,3.0,1.0,2.0,-23.014179000000002,-45.574445000000004,0.3333333333333333,420000.0
Apartamento,72.0,3.0,2.0,,-21.808695999999998,-46.576769,0.6666666666666666,280000.0
Apartamento,144.0,3.0,2.0,1.0,-21.785154000000002,-46.564555,0.6666666666666666,850000.0
Casa,340.0,3.0,3.0,7.0,-21.808695999999998,-46.576769,1.0,1200000.0
Casa,156.0,3.0,1.0,3.0,-22.925189000000003,-47.110363,0.3333333333333333,580000.0
Apartamento,128.0,3.0,3.0,2.0,-21.808695999999998,-46.576769,1.0,750000.0
Casa,344.0,4.0,2.0,2.0,-22.118814999999998,-46.683995,0.5,950000.0
Apartamento,70.0,2.0,2.0,1.0,,,1.0,270000.0
Apartamento,73.0,3.0,1.0,1.0,-21.787361999999998,-46.587752,0.3333333333333333,210000.0
Apartamento,84.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,430000.0
Apartamento,40.0,1.0,2.0,1.0,-19.664278,-43.862644,2.0,180000.0
Casa,97.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,315000.0
Apartamento,85.0,2.0,2.0,2.0,-23.014179000000002,-45.574445000000004,1.0,300000.0
Apartamento,54.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,210000.0
Apartamento,146.0,3.0,4.0,2.0,-21.808695999999998,-46.576769,1.3333333333333333,938370.0
Casa,140.0,3.0,2.0,2.0,-22.118814999999998,-46.683995,0.6666666666666666,800000.0
Casa,120.0,3.0,2.0,2.0,-22.187105,-49.972885999999995,0.6666666666666666,650000.0
Casa,150.0,3.0,3.0,2.0,-22.885289,-43.328431,1.0,650000.0
Apartamento,91.0,3.0,2.0,1.0,-21.795123,-46.561417999999996,0.6666666666666666,450000.0
Apartamento,52.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,145000.0
Apartamento,57.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,290000.0
Apartamento,85.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,450000.0
Apartamento,51.0,2.0,1.0,1.0,-21.788288,-46.551419,0.5,170000.0
